"","site_name","human_use","tree_id","dbh_cm","date","time","temp_c","humidity_percent","in_center","count_height","egg_count","caterpillar_count","entered_by"
"1","H01","High","trembling_aspen",NA,"16-Jun","9:35",22,70,"Yes","high",NA,"0",NA
"2","H01","High","trembling_aspen",NA,"16-Jun","9:35",22,70,"Yes","high",NA,"0",NA
"3","H01","High","bitternut_hickory",NA,"16-Jun","9:35",22,70,"Yes","high",NA,"0",NA
"4","H01","High","bitternut_hickory",NA,"16-Jun","9:35",22,70,"Yes","high",NA,"0",NA
"5","H01","High","dead",NA,"16-Jun","9:35",22,70,"Yes","high",NA,"0",NA
"6","H01","High","trembling_aspen",NA,"16-Jun","9:35",22,70,"Yes","low",NA,"0",NA
"7","H01","High","trembling_aspen",NA,"16-Jun","9:35",22,70,"Yes","low",NA,"0",NA
"8","H01","High","bitternut_hickory",NA,"16-Jun","9:35",22,70,"Yes","low",NA,"0",NA
"9","H01","High","bitternut_hickory",NA,"16-Jun","9:35",22,70,"Yes","low",NA,"0",NA
"10","H01","High","dead",NA,"16-Jun","9:35",22,70,"Yes","low",NA,"0",NA
"11","H01","High","trembling_aspen",NA,"16-Jun","9:35",22,70,"Yes","medium",NA,"0",NA
"12","H01","High","trembling_aspen",NA,"16-Jun","9:35",22,70,"Yes","medium",NA,"0",NA
"13","H01","High","bitternut_hickory",NA,"16-Jun","9:35",22,70,"Yes","medium",NA,"0",NA
"14","H01","High","bitternut_hickory",NA,"16-Jun","9:35",22,70,"Yes","medium",NA,"0",NA
"15","H01","High","dead",NA,"16-Jun","9:35",22,70,"Yes","medium",NA,"0",NA
"16","H01","High","bitternut_hickory",NA,"16-Jun","9:35",22,70,"No","high",NA,"0",NA
"17","H01","High","bitternut_hickory",NA,"16-Jun","9:35",22,70,"No","high",NA,"0",NA
"18","H01","High","dead",NA,"16-Jun","9:35",22,70,"No","high",NA,"0",NA
"19","H01","High","dead",NA,"16-Jun","9:35",22,70,"No","high",NA,"0",NA
"20","H01","High","dead",NA,"16-Jun","9:35",22,70,"No","high",NA,"0",NA
"21","H01","High","dead",NA,"16-Jun","9:35",22,70,"No","high",NA,"0",NA
"22","H01","High","black_cherry",NA,"16-Jun","9:35",22,70,"No","high",NA,"0",NA
"23","H01","High","bitternut_hickory",NA,"16-Jun","9:35",22,70,"No","high",NA,"0",NA
"24","H01","High","bitternut_hickory",NA,"16-Jun","9:35",22,70,"No","high",NA,"0",NA
"25","H01","High","dead",NA,"16-Jun","9:35",22,70,"No","high",NA,"0",NA
"26","H01","High","dead",NA,"16-Jun","9:35",22,70,"No","high",NA,"0",NA
"27","H01","High","dead",NA,"16-Jun","9:35",22,70,"No","high",NA,"0",NA
"28","H01","High","white_ash",NA,"16-Jun","9:35",22,70,"No","high",NA,"0",NA
"29","H01","High","white_ash",NA,"16-Jun","9:35",22,70,"No","high",NA,"0",NA
"30","H01","High","white_ash",NA,"16-Jun","9:35",22,70,"No","high",NA,"0",NA
"31","H01","High","white_ash",NA,"16-Jun","9:35",22,70,"No","high",NA,"0",NA
"32","H01","High","white_ash",NA,"16-Jun","9:35",22,70,"No","high",NA,"0",NA
"33","H01","High","bitternut_hickory",NA,"16-Jun","9:35",22,70,"No","high",NA,"0",NA
"34","H01","High","bitternut_hickory",NA,"16-Jun","9:35",22,70,"No","high",NA,"0",NA
"35","H01","High","bitternut_hickory",NA,"16-Jun","9:35",22,70,"No","high",NA,"0",NA
"36","H01","High","bitternut_hickory",NA,"16-Jun","9:35",22,70,"No","high",NA,"0",NA
"37","H01","High","Ostrya_virginiana",NA,"16-Jun","9:35",22,70,"No","high",NA,"0",NA
"38","H01","High","trembling_aspen",NA,"16-Jun","9:35",22,70,"No","high",NA,"0",NA
"39","H01","High","bitternut_hickory",NA,"16-Jun","9:35",22,70,"No","low",NA,"0",NA
"40","H01","High","bitternut_hickory",NA,"16-Jun","9:35",22,70,"No","low",NA,"0",NA
"41","H01","High","dead",NA,"16-Jun","9:35",22,70,"No","low",NA,"0",NA
"42","H01","High","dead",NA,"16-Jun","9:35",22,70,"No","low",NA,"0",NA
"43","H01","High","dead",NA,"16-Jun","9:35",22,70,"No","low",NA,"0",NA
"44","H01","High","dead",NA,"16-Jun","9:35",22,70,"No","low",NA,"0",NA
"45","H01","High","black_cherry",NA,"16-Jun","9:35",22,70,"No","low",NA,"0",NA
"46","H01","High","bitternut_hickory",NA,"16-Jun","9:35",22,70,"No","low",NA,"low",NA
"47","H01","High","bitternut_hickory",NA,"16-Jun","9:35",22,70,"No","low",NA,"0",NA
"48","H01","High","dead",NA,"16-Jun","9:35",22,70,"No","low",NA,"0",NA
"49","H01","High","dead",NA,"16-Jun","9:35",22,70,"No","low",NA,"0",NA
"50","H01","High","dead",NA,"16-Jun","9:35",22,70,"No","low",NA,"0",NA
"51","H01","High","white_ash",NA,"16-Jun","9:35",22,70,"No","low",NA,"0",NA
"52","H01","High","white_ash",NA,"16-Jun","9:35",22,70,"No","low",NA,"0",NA
"53","H01","High","white_ash",NA,"16-Jun","9:35",22,70,"No","low",NA,"0",NA
"54","H01","High","white_ash",NA,"16-Jun","9:35",22,70,"No","low",NA,"0",NA
"55","H01","High","white_ash",NA,"16-Jun","9:35",22,70,"No","low",NA,"0",NA
"56","H01","High","bitternut_hickory",NA,"16-Jun","9:35",22,70,"No","low",NA,"0",NA
"57","H01","High","bitternut_hickory",NA,"16-Jun","9:35",22,70,"No","low",NA,"0",NA
"58","H01","High","bitternut_hickory",NA,"16-Jun","9:35",22,70,"No","low",NA,"0",NA
"59","H01","High","bitternut_hickory",NA,"16-Jun","9:35",22,70,"No","low",NA,"0",NA
"60","H01","High","Ostrya_virginiana",NA,"16-Jun","9:35",22,70,"No","low",NA,"0",NA
"61","H01","High","trembling_aspen",NA,"16-Jun","9:35",22,70,"No","low",NA,"0",NA
"62","H01","High","bitternut_hickory",NA,"16-Jun","9:35",22,70,"No","medium",NA,"0",NA
"63","H01","High","bitternut_hickory",NA,"16-Jun","9:35",22,70,"No","medium",NA,"0",NA
"64","H01","High","dead",NA,"16-Jun","9:35",22,70,"No","medium",NA,"0",NA
"65","H01","High","dead",NA,"16-Jun","9:35",22,70,"No","medium",NA,"0",NA
"66","H01","High","dead",NA,"16-Jun","9:35",22,70,"No","medium",NA,"0",NA
"67","H01","High","dead",NA,"16-Jun","9:35",22,70,"No","medium",NA,"0",NA
"68","H01","High","black_cherry",NA,"16-Jun","9:35",22,70,"No","medium",NA,"0",NA
"69","H01","High","bitternut_hickory",NA,"16-Jun","9:35",22,70,"No","medium",NA,"0",NA
"70","H01","High","bitternut_hickory",NA,"16-Jun","9:35",22,70,"No","medium",NA,"low",NA
"71","H01","High","dead",NA,"16-Jun","9:35",22,70,"No","medium",NA,"0",NA
"72","H01","High","dead",NA,"16-Jun","9:35",22,70,"No","medium",NA,"0",NA
"73","H01","High","dead",NA,"16-Jun","9:35",22,70,"No","medium",NA,"0",NA
